genre,type,titles
International Movies,Movie,2752
Dramas,Movie,2427
Comedies,Movie,1674
International TV Shows,TV Show,1351
Documentaries,Movie,869
Action & Adventure,Movie,859
TV Dramas,TV Show,763
Independent Movies,Movie,756
Children & Family Movies,Movie,641
Romantic Movies,Movie,616
TV Comedies,TV Show,581
Thrillers,Movie,577
Crime TV Shows,TV Show,470
Kids' TV,TV Show,451
Docuseries,TV Show,395
Music & Musicals,Movie,375
Romantic TV Shows,TV Show,370
Horror Movies,Movie,357
Stand-Up Comedy,Movie,343
Reality TV,TV Show,255
British TV Shows,TV Show,253
Sci-Fi & Fantasy,Movie,243
Sports Movies,Movie,219
Anime Series,TV Show,176
Spanish-Language TV Shows,TV Show,174
TV Action & Adventure,TV Show,168
Korean TV Shows,TV Show,151
Classic Movies,Movie,116
LGBTQ Movies,Movie,102
TV Mysteries,TV Show,98
Science & Nature TV,TV Show,92
TV Sci-Fi & Fantasy,TV Show,84
TV Horror,TV Show,75
Anime Features,Movie,71
Cult Movies,Movie,71
Teen TV Shows,TV Show,69
Faith & Spirituality,Movie,65
Movies,Movie,57
TV Thrillers,TV Show,57
Stand-Up Comedy & Talk Shows,TV Show,56
Classic & Cult TV,TV Show,28
TV Shows,TV Show,16
