show_id,title,type,release_year,year_added,director_name
s1,Dick Johnson Is Dead,Movie,2020,2021.0,Kirsten Johnson
s3,Ganglands,TV Show,2021,2021.0,Julien Leclercq
s6,Midnight Mass,TV Show,2021,2021.0,Mike Flanagan
s7,My Little Pony: A New Generation,Movie,2021,2021.0,Robert Cullen
s7,My Little Pony: A New Generation,Movie,2021,2021.0,José Luis Ucha
s8,Sankofa,Movie,1993,2021.0,Haile Gerima
s9,The Great British Baking Show,TV Show,2021,2021.0,Andy Devonshire
s10,The Starling,Movie,2021,2021.0,Theodore Melfi
s12,Bangkok Breaking,TV Show,2021,2021.0,Kongkiat Komesiri
s13,Je Suis Karl,Movie,2021,2021.0,Christian Schwochow
s14,Confessions of an Invisible Girl,Movie,2021,2021.0,Bruno Garotti
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,2021.0,Pedro de Echave García
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,2021.0,Pablo Azorín Williams
s19,Intrusion,Movie,2021,2021.0,Adam Salky
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,2021.0,Olivier Megaton
s23,Avvai Shanmughi,Movie,1996,2021.0,K.S. Ravikumar
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,2021.0,Alex Woo
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,2021.0,Stanley Moore
s25,Jeans,Movie,1998,2021.0,S. Shankar
s27,Minsara Kanavu,Movie,1997,2021.0,Rajiv Menon
s28,Grown Ups,Movie,2010,2021.0,Dennis Dugan
s29,Dark Skies,Movie,2013,2021.0,Scott Stewart
s30,Paranoia,Movie,2013,2021.0,Robert Luketic
s31,Ankahi Kahaniya,Movie,2021,2021.0,Ashwiny Iyer Tiwari
s31,Ankahi Kahaniya,Movie,2021,2021.0,Abhishek Chaubey
s31,Ankahi Kahaniya,Movie,2021,2021.0,Saket Chaudhary
s36,The Father Who Moves Mountains,Movie,2021,2021.0,Daniel Sandu
s37,The Stronghold,Movie,2021,2021.0,Cédric Jimenez
s39,Birth of the Dragon,Movie,2017,2021.0,George Nolfi
s42,Jaws,Movie,1975,2021.0,Steven Spielberg
s43,Jaws 2,Movie,1978,2021.0,Jeannot Szwarc
s44,Jaws 3,Movie,1983,2021.0,Joe Alves
s45,Jaws: The Revenge,Movie,1987,2021.0,Joseph Sargent
s46,My Heroes Were Cowboys,Movie,2021,2021.0,Tyler Greco
s47,Safe House,Movie,2012,2021.0,Daniel Espinosa
s48,The Smart Money Woman,TV Show,2020,2021.0,Bunmi Ajakaiye
s49,Training Day,Movie,2001,2021.0,Antoine Fuqua
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,2021.0,Toshiya Shinohara
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,2021.0,Toshiya Shinohara
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,2021.0,Toshiya Shinohara
s55,InuYasha the Movie: Affections Touching Across Time,Movie,2001,2021.0,Toshiya Shinohara
